"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint"
"C1","1","0.1uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
"C2","1","2.2nF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
"C3","1","47uF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm"
"C4,C5,C6,C7,C8","5","100nF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
"C9","1","10uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
"C11","1","1uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
"C12","1","220uF","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm"
"D1","1","MB6S","","","","Package_TO_SOT_SMD:TO-269AA"
"D8,D12,D14,D16","4","1N4148W","","","","Diode_SMD:D_SOD-123"
"D9,D10,D11,D13,D15,D17","6","LED","","","","LED_THT:LED_D3.0mm"
"J1","1","Conn_01x06","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-6-2.54_1x06_P2.54mm_Horizontal"
"J3","1","SEED C3","","","","Symbol:XIAO-ESP32C3-SMD_alex"
"L1","1","47uH","","","","Inductor_SMD:L_Bourns_SRN6045TA"
"Q4,Q5,Q6,Q7","4","BT136S-800E","","","","Package_TO_SOT_SMD:TO-252-3_TabPin2"
"R5,R26,R27,R28,R29,R30,R31,R34,R36,R37,R38,R40,R42,R43","14","220","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"R6","1","100k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"R7,R13,R14,R15,R24,R25,R35,R41","8","10k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"R8","1","31.6k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"R32,R33,R39,R44","4","100","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"S1","1","RDS7-8S-1065-73-D-67","","","","Downloads:SW_RDS7-8S-1065-73-D-67"
"U4,U6,U7,U8","4","MOC3063M","","","","Package_DIP:DIP-6_W7.62mm"
"U5","1","LM5164DDA","","","","Package_SO:HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias"
